	filename	determiner	monotonicity	gold_label	replace_target	replace_source	replace_mode	ori_sentence	new_sentence
0	gold/p00/d0824	and	conjunction	entailment				I bought a few eggs and a little milk .	I bought a few eggs
1	gold/p00/d0824	and	conjunction	neutral				I bought a few eggs	I bought a few eggs and a little milk .
2	gold/p00/d3008	and	conjunction	entailment				He played the piano and she sang .	He played the piano
3	gold/p00/d3008	and	conjunction	neutral				He played the piano	He played the piano and she sang .
4	gold/p00/d3168	and	conjunction	entailment				Tom picked the diamond up and looked at it .	Tom picked the diamond up
5	gold/p00/d3168	and	conjunction	neutral				Tom picked the diamond up	Tom picked the diamond up and looked at it .
6	gold/p01/d1777	and	conjunction	entailment				He left the bedroom and entered the living~room .	He left the bedroom
7	gold/p01/d1777	and	conjunction	neutral				He left the bedroom	He left the bedroom and entered the living~room .
8	gold/p01/d2630	and	conjunction	entailment				Tom opened the freezer and got out the ice~cream .	Tom opened the freezer
9	gold/p01/d2630	and	conjunction	neutral				Tom opened the freezer	Tom opened the freezer and got out the ice~cream .
10	gold/p02/d3434	and	conjunction	entailment				The hunter shoots stags and hares .	The hunter shoots stags
11	gold/p02/d3434	and	conjunction	neutral				The hunter shoots stags	The hunter shoots stags and hares .
12	gold/p03/d2330	and	conjunction	entailment				He is up and about again .	He is up
13	gold/p03/d2330	and	conjunction	neutral				He is up	He is up and about again .
14	gold/p04/d3435	and	conjunction	entailment				Tom grabbed Mary 's arm and pulled her towards the door .	Tom grabbed Mary 's arm
15	gold/p04/d3435	and	conjunction	neutral				Tom grabbed Mary 's arm	Tom grabbed Mary 's arm and pulled her towards the door .
16	gold/p05/d2395	and	conjunction	entailment				He 's dark and handsome .	He 's dark
17	gold/p05/d2395	and	conjunction	neutral				He 's dark	He 's dark and handsome .
18	gold/p06/d1472	and	conjunction	entailment				The guests are drinking beer and wine .	The guests are drinking beer
19	gold/p06/d1472	and	conjunction	neutral				The guests are drinking beer	The guests are drinking beer and wine .
20	gold/p06/d2637	and	conjunction	entailment				Tom played the piano and Mary sang .	Tom played the piano
21	gold/p06/d2637	and	conjunction	neutral				Tom played the piano	Tom played the piano and Mary sang .
22	gold/p06/d2737	and	conjunction	entailment				I farted in class and the teacher threw me out .	I farted in class
23	gold/p06/d2737	and	conjunction	neutral				I farted in class	I farted in class and the teacher threw me out .
24	gold/p08/d2004	and	conjunction	entailment				Tom smiled and nodded .	Tom smiled
