	filename	determiner	monotonicity	gold_label	replace_target	replace_source	replace_mode	ori_sentence	new_sentence
0	gold/p10/d1901	or	disjunction	entailment				Maybe he is Italian or Spanish .	Maybe he is Italian
1	gold/p10/d1901	or	disjunction	neutral				Maybe he is Italian	Maybe he is Italian or Spanish .
2	silver/p00/d1806	or	disjunction	neutral				I remember mentioning it once or twice .	I remember mentioning it once
3	silver/p00/d1806	or	disjunction	entailment				I remember mentioning it once	I remember mentioning it once or twice .
4	silver/p00/d1936	or	disjunction	entailment				My watch may be one or two minutes fast .	My watch may be one
5	silver/p00/d1936	or	disjunction	neutral				My watch may be one	My watch may be one or two minutes fast .
6	silver/p01/d0861	or	disjunction	neutral				Wait for me . I 'll be there in a minute or ten .	Wait for me . I 'll be there in a minute
7	silver/p01/d0861	or	disjunction	entailment				Wait for me . I 'll be there in a minute	Wait for me . I 'll be there in a minute or ten .
8	silver/p01/d1951	or	disjunction	neutral				Please notify me by e-mail about any bugs found or missing functions that you want to be included in future versions of the BMI calculator .	Please notify me by e-mail about any bugs found
9	silver/p01/d1951	or	disjunction	entailment				Please notify me by e-mail about any bugs found	Please notify me by e-mail about any bugs found or missing functions that you want to be included in future versions of the BMI calculator .
10	silver/p02/d0758	or	disjunction	entailment				Mr Ferdinand Piech said that the German company did not have any confidential plans or documents about GM 's ultra-low-cost factory project .	Mr Ferdinand Piech said that the German company did not have any confidential plans
11	silver/p02/d0758	or	disjunction	neutral				Mr Ferdinand Piech said that the German company did not have any confidential plans	Mr Ferdinand Piech said that the German company did not have any confidential plans or documents about GM 's ultra-low-cost factory project .
12	silver/p02/d1544	or	disjunction	neutral				Put your hand over your mouth when you cough , sneeze or yawn .	Put your hand over your mouth when you cough , sneeze
13	silver/p02/d1544	or	disjunction	entailment				Put your hand over your mouth when you cough , sneeze	Put your hand over your mouth when you cough , sneeze or yawn .
14	silver/p02/d1649	or	disjunction	neutral				For your sake , father , I would cut the devil himself into small bits , or even become a devil myself .	For your sake , father , I would cut the devil himself into small bits ,
15	silver/p02/d1649	or	disjunction	entailment				For your sake , father , I would cut the devil himself into small bits ,	For your sake , father , I would cut the devil himself into small bits , or even become a devil myself .
16	silver/p02/d1992	or	disjunction	neutral				""" Tom ! Do you realise that these sentences are very self-centred : They always either begin with or end with you ! Even both ! "" she reproached Tom ."	""" Tom ! Do you realise that these sentences are very self-centred : They always either begin with"
17	silver/p02/d1992	or	disjunction	entailment				""" Tom ! Do you realise that these sentences are very self-centred : They always either begin with"	""" Tom ! Do you realise that these sentences are very self-centred : They always either begin with or end with you ! Even both ! "" she reproached Tom ."
18	silver/p02/d2329	or	disjunction	entailment				The discovery of inadequate infection control protocols in several dental clinics has given rise to fears that patients may have been infected with HIV or hepatitis .	The discovery of inadequate infection control protocols in several dental clinics has given rise to fears that patients may have been infected with HIV
19	silver/p02/d2329	or	disjunction	neutral				The discovery of inadequate infection control protocols in several dental clinics has given rise to fears that patients may have been infected with HIV	The discovery of inadequate infection control protocols in several dental clinics has given rise to fears that patients may have been infected with HIV or hepatitis .
20	silver/p02/d3211	or	disjunction	neutral				He 's either crazy or on drugs .	He 's either crazy
21	silver/p02/d3211	or	disjunction	entailment				He 's either crazy	He 's either crazy or on drugs .
22	silver/p03/d1711	or	disjunction	neutral				Have patience for another day or two .	Have patience for another day
23	silver/p03/d1711	or	disjunction	entailment				Have patience for another day	Have patience for another day or two .
24	silver/p03/d3079	or	disjunction	entailment				No major damage or injuries are known to have resulted from the quake measuring 3.0 on the Richter scale .	No major damage
25	silver/p03/d3079	or	disjunction	neutral				No major damage	No major damage or injuries are known to have resulted from the quake measuring 3.0 on the Richter scale .
26	silver/p03/d3098	or	disjunction	entailment				From the Tokyo~International~Airport to Tokyo , you can take a train or an airport shuttle bus .	From the Tokyo~International~Airport to Tokyo , you can take a train
27	silver/p03/d3098	or	disjunction	neutral				From the Tokyo~International~Airport to Tokyo , you can take a train	From the Tokyo~International~Airport to Tokyo , you can take a train or an airport shuttle bus .
28	silver/p03/d3253	or	disjunction	entailment				This is an area that gets little or no attention , so we 're going to try and bring some attention to it .	This is an area that gets little
29	silver/p03/d3253	or	disjunction	neutral				This is an area that gets little	This is an area that gets little or no attention , so we 're going to try and bring some attention to it .
30	silver/p03/d3287	or	disjunction	neutral				Hackers find new ways of infiltrating private or public networks .	Hackers find new ways of infiltrating private
31	silver/p03/d3287	or	disjunction	entailment				Hackers find new ways of infiltrating private	Hackers find new ways of infiltrating private or public networks .
32	silver/p04/d0754	or	disjunction	entailment				Chirac needed a new mandate for his government from the electorate , or a new left government was needed that could count on the support of the trade union bureaucracy and among the working class and so would encounter less resistance .	Chirac needed a new mandate for his government from the electorate ,
