Pair_id	SentenceA	SentenceB	SICK_original_label	corrected_label
10	A brown dog is attacking another animal in front of the tall man in pants	A brown dog is attacking another animal in front of the man in pants	AeBBnA	AeBBnA
19	A person in a black jacket is doing tricks on a motorbike	A man in a black jacket is doing tricks on a motorbike	AeBBeA	AnBBeA
22	A skilled person is riding a bicycle on one wheel	A person is riding the bicycle on one wheel	AeBBnA	AeBBnA
23	Nobody is riding the bicycle on one wheel	A person is riding the bicycle on one wheel	AcBBcA	AcBBcA
41	Two people are kickboxing and spectators are watching	Two people are fighting and spectators are watching	AeBBnA	AeBBnA
42	Two people are kickboxing and spectators are not watching	Two people are kickboxing and spectators are watching	AcBBcA	AcBBcA
43	Two spectators are kickboxing and some people are watching	Two people are kickboxing and spectators are watching	AnBBnA	AeBBeA
52	Kids in red shirts are playing in the leaves	Children in red shirts are playing in the leaves	AeBBeA	AeBBeA
55	Three boys are jumping in the leaves	Three kids are jumping in the leaves	AeBBnA	AeBBnA
63	Two children are lying in the snow and are drawing angels	Two children are lying in the snow and are making snow angels	AeBBnA	AeBBnA
74	A little girl is looking at a woman in costume	A young girl is looking at a woman in costume	AeBBeA	AeBBeA
75	A little girl is looking at a woman in costume	The little girl is looking at a man in costume	AcBBnA	AcBBcA
77	People wearing costumes are gathering in a forest and are looking in the same direction	Masked people are looking in the same direction in a forest	AeBBnA	AnBBnA
89	A man is jumping into an empty swimming pool	A man is jumping into an empty pool	AeBBnA	AnBBnA
90	A man is jumping into an empty pool	A man is jumping into a full pool	AcBBcA	AcBBcA
98	Four kids are doing backbends in the park	Four children are doing backbends in the park	AeBBeA	AeBBeA
100	Four girls are doing backbends and playing in the garden	Four girls are doing backbends and playing outdoors	AeBBnA	AeBBnA
101	Four girls are doing backbends and playing outdoors	Four girls are doing backbends and playing indoors	AnBBnA	AcBBcA
104	Four kids are doing backbends in the park	Four girls are doing backbends and playing outdoors	AeBBnA	AnBBnA
107	A man who is playing is running with the ball in his hands	A player is running with the ball	AeBBnA	AeBBnA
121	Five kids are standing close together and one kid has a gun	Five kids are standing close together and one kid has a weapon	AeBBnA	AeBBnA
129	An old man is sitting in a field	A man is sitting in a field	AeBBnA	AeBBnA
132	A person is wearing a hat and is sitting on the grass	There is no person wearing a hat and sitting on the grass	AcBBcA	AcBBcA
149	A deer is jumping over a fence	A deer is jumping over the enclosure	AeBBnA	AeBBnA
150	A deer is jumping over a fence	A deer isn't jumping over the fence	AcBBcA	AcBBcA
151	A wild deer is jumping a fence	A deer is jumping a fence	AeBBnA	AeBBnA
153	A wild deer is jumping a fence	A deer is jumping over a fence	AeBBnA	AeBBnA
158	People are walking outside a building that has many murals on it	People are walking outside the building that has several murals on it	AeBBeA	AeBBnA
159	People are walking inside a building that has many murals on it	People are walking outside a building that has many murals on it	AnBBnA	AcBBcA
162	Several people are in front of a building which is covered by colors	People are walking outside a building that has many murals on it	AeBBnA	AnBBnA
164	People are walking outside the building that has several murals on it	Several people are in front of a colorful building	AeBBnA	AeBBnA
167	A boy is hitting a baseball	A child is hitting a baseball	AeBBnA	AeBBnA
169	A family is watching a little boy who is hitting a baseball	A family is watching a boy who is hitting a baseball	AeBBnA	AeBBnA
172	A family is watching a boy who is hitting a baseball	A child is hitting a baseball	AeBBnA	AeBBnA
175	A family is watching a little boy who is hitting a baseball	A boy is hitting a baseball	AeBBnA	AeBBnA
177	A family is watching a little boy who is hitting a baseball	A child is hitting a baseball	AeBBnA	AeBBnA
178	A large group of Asian people is eating at a restaurant	A group of people from Asia is eating at a restaurant	AeBBnA	AeBBnA
181	Various people are eating at red tables in a crowded restaurant with purple lights	Various customers are eating in a crowded restaurant with purple lights	AeBBnA	AeBBnA
192	A motorcycle rider is standing up on the seat of a white motorcycle	No motorcycle rider is standing up on the seat of a motorcycle	AcBBcA	AcBBcA
193	Someone is on a black and white motorcycle and is standing on the seat	A rider is on a black and white bike and is standing on the seat	AeBBnA	AeBBnA
200	A motorcyclist is riding a motorbike dangerously along a roadway	A motorcyclist is riding a motorbike along a roadway	AeBBnA	AeBBnA
201	There is no motorcyclist riding a motorbike along a roadway	A motorcyclist is riding a motorbike along a roadway	AcBBcA	AcBBcA
204	A man with a helmet painted red is riding a blue motorcycle down the road	A motorcyclist is riding a motorbike along a roadway	AeBBnA	AeBBnA
208	A motorcyclist with a red helmet is riding a blue motorcycle down the road	A motorcyclist is riding a motorbike along a roadway	AeBBnA	AeBBnA
209	A dog is catching a stick in the air and another is watching	A dog is leaping high in the air and another is watching	AeBBnA	AeBBnA
219	There is no girl in white dancing	A girl in white is dancing	AcBBcA	AcBBcA
222	The blond girl is dancing in front of the sound equipment	The equipment in front of the blond dancing girl is sound	AeBBnA	AnBBnA
229	The children of a family are patiently playing and waiting	The children of a family are playing and waiting	AeBBnA	AeBBnA
231	Three Asian kids are dancing and a serious man is looking	Three Asian kids are dancing and a man is looking	AeBBnA	AeBBnA
232	Three Asian kids are dancing and a man is looking	Three Asian kids are dancing and there is no man looking	AcBBcA	AcBBcA
233	Three Asian kids are dancing and a man is looking	An Asian man is dancing and three kids are looking	AnBBnA	AeBBeA
