index	task	verb	sentence	neg_sentence	complement	turker_pos_ratings	turker_neg_ratings	bert_pos_entailment_prob	bert_pos_contradiction_prob	bert_pos_neutral_prob	bert_neg_entailment_prob	bert_neg_contradiction_prob	bert_neg_neutral_prob	signature
0	to	move	Fearing that overdevelopment, as well as new trends and tastes in international tourism, would leave the Balearics behind, authorities have moved to protect remaining undeveloped areas as nature preserves, proclaiming them off-limits to all construction, and have even blown up some of the more unsightly hotel blemishes on the coasts.	Fearing that overdevelopment, as well as new trends and tastes in international tourism, would leave the Balearics behind, authorities have not moved to protect remaining undeveloped areas as nature preserves, proclaiming them off-limits to all construction, and have even blown up some of the more unsightly hotel blemishes on the coasts.	Fearing that overdevelopment, as well as new trends and tastes in international tourism, would leave the balearics behind, authorities have protected remaining undeveloped areas as nature preserves, proclaiming them off-limits to all construction, and have even blown up some of the more unsightly hotel blemishes on the coasts.	1.0,2.0,2.0	-2.0,-2.0,-2.0	0.9988753	0.00031748667	0.0008072096400000001	0.0002987825	0.9992244	0.00047681248	o/o
1	to	decline	Nike declined to be a sponsor.	Nike did not decline to be a sponsor.	Nike was a sponsor.	-2.0,-2.0,1.0	0.0,0.0,1.0	0.00054264657	0.9989157	0.0005416682	0.99604994	0.00040479706	0.0035453099	-/o
2	to	intend	I intend to resume the habit as a delight of old age	I do not intend to resume the habit as a delight of old age	I resume the habit as a delight of old.	-2.0,1.0,1.0	0.0,0.0,0.0	0.9973685	0.00064787554	0.0019836049	0.00025581283	0.9992046	0.0005396196	o/o
3	to	intend	Ashoka intended to use this power to control people.	Ashoka did not intend to use this power to control people.	Ashoka used this power to control people.	0.0,0.0,1.0	-1.0,0.0,0.0	0.995333	0.001741171	0.0029258062	0.00058611564	0.9986033	0.0008105294000000001	o/o
4	to	intend	Yesterday I said that I intended to live by my wits.	Yesterday I said that I did not intend to live by my wits.	Yesterday i said that i lived by my wits.	0.0,1.0,2.0	-2.0,-2.0,0.0	0.9979379	0.00074583787	0.0013163041	0.0002257235	0.99945265	0.00032158935	o/o
5	to	intend	He had intended to find islands in the Caribbean.	He had not intended to find islands in the Caribbean.	He had found islands in the caribbean.	0.0,1.0,1.0	0.0,0.0,2.0	0.9924886	0.0013464505	0.00616502	0.0022581697	0.99548316	0.0022587155	o/o
6	to	intend	John intended to look through the desk first.	John did not intend to look through the desk first.	John looked through the desk first.	0.0,0.0,1.0	-1.0,0.0,1.0	0.99854493	0.00044621306	0.0010088149	0.0015825562	0.9971879	0.0012295683	o/o
7	to	intend	I intend to do the same for myself as well.	I do not intend to do the same for myself as well.	I do the same for myself as well.	0.0,0.0,1.0	-2.0,-2.0,0.0	0.9969277	0.0004615314	0.002610713	0.00016730258000000002	0.9993936	0.0004390921400000001	o/o
8	to	intend	Competition intended to increase quality.	Competition did not intend to increase quality.	Competition increased quality.	0.0,0.0,1.0	0.0,0.0,0.0	0.9954798	0.00073287083	0.0037872707	0.0001477336	0.9995728000000002	0.00027939773	o/o
9	to	intend	The man intended to shoot the rider. 	The man did not intend to shoot the rider. 	The man shot the rider.	0.0,0.0,0.0	-2.0,0.0,0.0	0.9923083	0.002807495	0.0048840097	0.0001619673	0.99941325	0.00042485452	o/o
