index	promptID	pairID	genre	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	label1	label2	label3	label4	label5	gold_label
1	1	1	paper:FraCaS_GQ:upward_monotone					An Irishman won the nobel prize for literature.	An Irishman won a nobel prize.						entailment
2	2	2	paper:FraCaS_GQ:downward_monotone					No delegate finished the report on time.	No delegate finished the report.						neutral
3	3	3	paper:FraCaS_GQ:upward_monotone					Some delegates finished the survey on time.	Some delegates finished the survey.						entailment
4	4	4	paper:FraCaS_GQ:upward_monotone					Many delegates obtained interesting results from the survey.	Many delegates obtained results from the survey.						entailment
5	5	5	paper:FraCaS_GQ:upward_monotone					Several delegates got the results published in major national newspapers.	Several delegates got the results published.						entailment
6	6	6	paper:FraCaS_GQ:upward_monotone					Both commissioners used to be leading businessmen.	Both commissioners used to be businessmen.						entailment
7	7	7	paper:FraCaS_GQ:downward_monotone					Neither commissioner spends a lot of time at home.	Neither commissioner spends time at home.						neutral
8	8	8	paper:FraCaS_GQ:upward_monotone					At least three commissioners spend a lot of time at home.	At least three commissioners spend time at home.						entailment
9	9	9	paper:FraCaS_GQ:downward_monotone					At most ten commissioners spend a lot of time at home.	At most ten commissioners spend time at home.						neutral
10	10	10	paper:FraCaS_GQ:upward_monotone					An Irishman won a nobel prize.	An Irishman won the nobel prize for literature.						neutral
11	11	11	paper:FraCaS_GQ:upward_monotone					Some delegates finished the survey.	Some delegates finished the survey on time.						neutral
12	12	12	paper:FraCaS_GQ:upward_monotone					Many delegates obtained results from the survey.	Many delegates obtained interesting results from the survey.						neutral
13	13	13	paper:FraCaS_GQ:downward_monotone					Several delegates got the results published.	Several delegates got the results published in major national newspapers.						neutral
14	14	14	paper:FraCaS_GQ:upward_monotone					Both commissioners used to be businessmen.	Both commissioners used to be leading businessmen.						neutral
15	15	15	paper:FraCaS_GQ:upward_monotone					At least three commissioners spend time at home.	At least three commissioners spend a lot of time at home.						neutral
16	16	16	paper:FraCaS_GQ:downward_monotone					At most ten commissioners spend time at home.	At most ten commissioners spend a lot of time at home.						entailment
17	17	17	paper:FraCaS_GQ:downward_monotone					No Scandinavian delegate finished the report on time.	Some delegate finished the report on time.						neutral
18	18	18	paper:FraCaS_GQ:upward_monotone					Some Irish delegates finished the survey on time.	Some delegates finished the survey on time.						entailment
19	19	19	paper:FraCaS_GQ:non_monotone					Many British delegates obtained interesting results from the survey.	Many delegates obtained interesting results from the survey.						neutral
20	20	20	paper:FraCaS_GQ:upward_monotone					Several Portuguese delegates got the results published in major national newspapers.	Several delegates got the results published in major national newspapers.						entailment
21	21	21	paper:FraCaS_GQ:downward_monotone					Most Europeans who are resident in Europe can travel freely within Europe.	Most Europeans can travel freely within Europe.						neutral
22	22	22	paper:FraCaS_GQ:upward_monotone					A few female committee members are from Scandinavia.	At least a few committee members are from Scandinavia.						entailment
23	23	23	paper:FraCaS_GQ:downward_monotone					Few female committee members are from southern Europe.	Few committee members are from southern Europe.						neutral
24	24	24	paper:FraCaS_GQ:non_monotone					Both female commissioners used to be in business.	Both commissioners used to be in business.						neutral
25	25	25	paper:FraCaS_GQ:downward_monotone					Neither female commissioner spends a lot of time at home.	One of the commissioners spends a lot of time at home.						neutral
26	26	26	paper:FraCaS_GQ:upward_monotone					At least three female commissioners spend time at home.	At least three commissioners spend time at home.						entailment
27	27	27	paper:FraCaS_GQ:downward_monotone					At most ten female commissioners spend time at home.	At most ten commissioners spend time at home.						neutral
28	28	28	paper:FraCaS_GQ:upward_monotone					Some delegates finished the survey on time.	Some Irish delegates finished the survey on time.						neutral
29	29	29	paper:FraCaS_GQ:non_monotone					Many delegates obtained interesting results from the survey.	Many British delegates obtained interesting results from the survey.						neutral
30	30	30	paper:FraCaS_GQ:upward_monotone					Several delegates got the results published in major national newspapers.	Several Portuguese delegates got the results published in major national newspapers.						neutral
31	31	31	paper:FraCaS_GQ:upward_monotone					Most Europeans can travel freely within Europe.	Most Europeans who are resident outside Europe can travel freely within Europe.						neutral
32	32	32	paper:FraCaS_GQ:upward_monotone					A few committee members are from Scandinavia.	At least a few female committee members are from Scandinavia.						neutral
33	33	33	paper:FraCaS_GQ:downward_monotone					Few committee members are from southern Europe.	Few female committee members are from southern Europe.						entailment
34	34	34	paper:FraCaS_GQ:non_monotone					Both commissioners used to be in business.	Both female commissioners used to be in business.						neutral
35	35	35	paper:FraCaS_GQ:downward_monotone					Neither commissioner spends a lot of time at home.	One of the female commissioners spends a lot of time at home.						neutral
36	36	36	paper:FraCaS_GQ:upward_monotone					At least three commissioners spend time at home.	At least three male commissioners spend time at home.						neutral
37	37	37	paper:FraCaS_GQ:downward_monotone					At most ten commissioners spend time at home.	At most ten female commissioners spend time at home.						entailment
38	38	38	paper:upward_monotone					Pluto and Uranus are now directly aligned with Neptune.	Pluto or Uranus is now directly aligned with Neptune.						entailment
39	39	39	paper:upward_monotone					Pluto or Uranus is now directly aligned with Neptune.	Pluto and Uranus are now directly aligned with Neptune.						neutral
40	40	40	paper:upward_monotone					Alan took his vacation in California.	Both Alan and Bob took their vacations in California.						neutral
41	41	41	paper:upward_monotone					Both Alan and Bob took their vacations in California.	Alan took his vacation in California.						entailment
42	42	42	paper:upward_monotone					Socrates is rational.	Someone is rational.						entailment
